PlantID,FieldCapacity,Day1_Adults,Day1_Nymphs,Day1_TotalAphids,Day13_Adults,Day13_Nymphs,Day13_TotalAphids,WP,Total_Mummies,Percent_Parasitism,Height,Tillers,Biomass
2,100%,20,52,72,91,155,259,-0.965264,60,0.833,38,4,2.108
5,95%,19,81,100,46,153,200,-1.051449,78,0.780,37,6,2.367
6,89%,25,92,117,143,389,543,-1.120396,123,1.051,37.75,5,1.703
7,84%,21,89,110,280,648,933,-1.378949,51,0.464,35,7,1.836
8,78%,17,106,123,121,240,364,-1.051449,101,0.821,44,9,3.755
9,73%,23,72,95,371,981,1371,-1.022720,13,0.137,40,7,2.148
10,67%,19,73,92,38,65,104,-1.189343,40,0.435,40,1,0.962
12,62%,16,81,97,17,35,52,-1.332984,28,0.289,37.5,1,0.847
14,56%,25,121,146,39,100,140,-1.206580,43,0.295,38.5,2,1.164
16,51%,12,72,84,54,152,207,-1.275528,25,0.298,41,3,1.724
17,46%,12,52,64,53,70,125,-1.465133,11,0.172,42.5,3,1.649
18,40%,11,51,62,25,60,85,-1.844344,4,0.065,35,2,1.878
19,100%,17,111,128,130,386,518,-0.965264,102,0.797,43.5,4,1.791
20,95%,26,135,161,224,675,909,-1.189343,56,0.348,39.5,6,2.604
21,89%,15,56,71,88,187,275,-1.447896,27,0.380,42.5,2,1.304
22,84%,15,69,84,300,810,1120,-0.758422,52,0.619,42,6,1.89
24,78%,19,82,101,110,277,396,-0.861843,94,0.931,39,7,2.827
27,73%,15,82,97,273,719,1013,-0.758422,53,0.546,39,6,2.242
28,67%,13,100,113,293,704,1019,-1.378949,81,0.717,37,7,2.986
31,62%,16,110,126,340,784,1148,-1.137633,29,0.230,37.5,7,1.855
32,56%,26,115,141,201,527,755,-1.344475,17,0.121,34.5,4,0.885
33,51%,23,94,117,255,551,823,-1.568554,0,0.000,33,4,0.706
34,46%,17,87,104,188,384,575,-1.534081,17,0.163,39.5,4,1.175
36,40%,8,65,73,131,366,499,-1.775397,10,0.137,36,3,1.152